iter	RMSE
0	1.232368747
1	1.071331931
2	0.9306979347
3	0.834320793
4	0.7547096196
5	0.686883189
6	0.6374094188
7	0.5921811957
8	0.5546743299
9	0.5335824986
10	0.5114393626
11	0.4957807637
12	0.4815533464
13	0.4677637787
14	0.4536435657
15	0.4462033415
16	0.43238678
17	0.4258946447
18	0.4193697763
19	0.4112691028
20	0.4043836974
21	0.3997274212
22	0.3946106877
23	0.3890232568
24	0.3840380887
25	0.3801218846
26	0.3732808024
27	0.367831448
28	0.3630852358
29	0.3607666579
30	0.3578830325
31	0.3550453974
32	0.3518336524
33	0.3490764813
34	0.3472916902
35	0.3447594758
36	0.3428361654
37	0.3389024258
38	0.3362741718
39	0.3324375846
40	0.330540791
41	0.3281385862
42	0.327524219
43	0.3256096004
44	0.3240729883
45	0.3223729218
46	0.3174367656
47	0.3158921867
48	0.3137087274
49	0.3118779144
50	0.3103795612
51	0.3087740167
52	0.3059815904
53	0.303777871
54	0.3032870623
55	0.3022999469
56	0.3000972879
57	0.2989594609
58	0.2951353263
59	0.292526148
60	0.2908500882
61	0.2874719713
62	0.2848550691
63	0.2846074375
64	0.2830094809
65	0.2802311121
66	0.2798411438
67	0.2782719769
68	0.277139892
69	0.2761142756
70	0.2739695485
71	0.2724584459
72	0.2721785083
73	0.2708142004
74	0.2696325009
75	0.2684235088
76	0.2661586202
77	0.2645441452
78	0.263201421
79	0.2621522888
80	0.2599906729
81	0.2582643421
82	0.2568446566
83	0.2560084089
84	0.255287824
85	0.2541357894
86	0.252856111
87	0.2514131252
88	0.2496153477
89	0.2490344706
90	0.2470450304
91	0.2464164147
92	0.2448652084
93	0.243777768
94	0.2422851821
95	0.241684989
96	0.2410213209
97	0.2394973752
98	0.2385093393
99	0.2377692099
100	0.236477674
101	0.2353117743
102	0.2351609167
103	0.2350595745
104	0.2337421269
105	0.2327555653
106	0.2316852958
107	0.2309906425
108	0.2299622214
109	0.2288957641
110	0.2277287828
111	0.2260806487
112	0.225305106
113	0.2239480607
114	0.2221359614
115	0.2213249892
116	0.2202548829
117	0.2193744286
118	0.2185588718
119	0.217348556
120	0.2163995479
121	0.2159335853
122	0.2157868849
123	0.2146312335
124	0.2132816615
125	0.2120690982
126	0.21141649
127	0.2109538442
128	0.2101226033
129	0.2097026049
130	0.2084790416
131	0.2083627307
132	0.2074414384
133	0.206408588
134	0.2059954883
135	0.2059279143
136	0.2049551904
137	0.2042873778
138	0.2030464049
139	0.2022180779
140	0.2015090089
141	0.2008193618
142	0.2007221916
143	0.199619259
144	0.199153231
145	0.1983302561
146	0.1975725609
147	0.1963037274
148	0.1953580132
149	0.1948052011
