iter	Passed	Remaining
0	137	20474
1	139	10299
2	140	6903
3	142	5214
4	145	4209
5	147	3542
6	150	3074
7	153	2719
8	156	2450
9	159	2232
10	162	2051
11	165	1906
12	168	1780
13	171	1669
14	174	1572
15	177	1487
16	180	1412
17	183	1347
18	186	1288
19	189	1233
20	192	1184
21	196	1141
22	199	1102
23	203	1067
24	206	1030
25	208	996
26	212	967
27	215	937
28	217	908
29	220	880
30	223	856
31	226	833
32	229	813
33	232	791
34	234	770
35	236	749
36	238	729
37	241	712
38	244	694
39	246	677
40	248	661
41	251	645
42	253	630
43	255	616
44	258	603
45	261	590
46	263	577
47	265	564
48	268	552
49	270	540
50	272	528
51	274	517
52	277	507
53	279	496
54	282	487
55	284	477
56	287	469
57	290	460
58	293	452
59	295	443
60	297	434
61	299	425
62	302	417
63	304	408
64	306	400
65	308	393
66	311	385
67	313	377
68	315	370
69	317	362
70	319	355
71	322	348
72	324	342
73	326	334
74	327	327
75	329	321
76	331	314
77	333	308
78	335	301
79	337	295
80	339	289
81	341	283
82	344	277
83	345	271
84	347	265
85	349	259
86	350	254
87	353	249
88	355	243
89	357	238
90	359	233
91	361	228
92	363	222
93	365	217
94	367	212
95	369	207
96	371	202
97	373	198
98	375	193
99	376	188
100	378	183
101	380	179
102	384	175
103	387	171
104	389	167
105	392	162
106	394	158
107	396	154
108	398	149
109	400	145
110	402	141
111	405	137
112	407	133
113	410	129
114	412	125
115	415	121
116	418	117
117	420	114
118	422	110
119	424	106
120	426	102
121	429	98
122	431	94
123	433	90
124	435	87
125	437	83
126	439	79
127	440	75
128	442	72
129	444	68
130	445	64
131	447	61
132	449	57
133	451	53
134	454	50
135	457	47
136	458	43
137	461	40
138	463	36
139	466	33
140	468	29
141	471	26
142	473	23
143	475	19
144	478	16
145	481	13
146	483	9
147	485	6
148	487	3
149	489	0
