movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Horrible Bosses 2,11,2014,36,40,159,35,195,35.92
Hostage,3,2005,33,44,,,33,44.00
Hostel,1,2006,,,,,0,0
Hostel: Part II,6,2007,21,46,,,21,46.00
Hostiles,12,2017,41,65,228,70,269,69.24
Hot Fuzz,4,2007,37,81,205,91,242,89.47
Hot Pursuit,5,2015,36,31,177,8,213,11.89
Hot Rod,8,2007,27,43,119,39,146,39.74
Hot Tub Time Machine,3,2010,36,63,213,64,249,63.86
Hot Tub Time Machine 2,2,2015,31,29,108,14,139,17.35
Hotel Artemis,6,2018,36,58,182,57,218,57.17
Hotel Mumbai,3,2019,,,,,0,0
Hotel Rwanda,12,2004,40,79,192,91,232,88.93
Hotel Transylvania,9,2012,32,47,144,44,176,44.55
Hotel Transylvania 2,9,2015,24,44,109,57,133,54.65
Hotel Transylvania 3: Summer Vacation,7,2018,23,54,120,62,143,60.71
Hotel for Dogs,1,2009,25,51,124,46,149,46.84
House at the End of the Street,9,2012,19,31,69,12,88,16.10
House of 1000 Corpses,4,2003,15,31,87,22,102,23.32
House of Flying Daggers,12,2004,37,89,172,87,209,87.35
House of Sand and Fog,12,2003,41,71,183,74,224,73.45
House of Wax,5,2005,36,41,163,28,199,30.35
House of the Dead,10,2003,,,61,3,61,3.00
How Do You Know,12,2010,38,46,150,31,188,34.03
How High,12,2001,21,29,59,25,80,26.05
How She Move,1,2008,,,,,0,0
How the Grinch Stole Christmas,11,2000,29,46,144,49,173,48.50
How to Be Single,2,2016,32,51,156,46,188,46.85
How to Be a Latin Lover,4,2017,11,54,31,39,42,42.93
How to Deal,7,2003,29,45,98,27,127,31.11
How to Lose Friends & Alienate People,10,2008,25,35,114,37,139,36.64
How to Lose a Guy in 10 Days,2,2003,31,45,150,42,181,42.51
How to Train Your Dragon,3,2010,37,75,214,99,251,95.46
How to Train Your Dragon 2,6,2014,48,77,186,92,234,88.92
How to Train Your Dragon: The Hidden World,2,2019,42,71,272,90,314,87.46
Huevos: Little Rooster's Egg-cellent Adventure,9,2015,6,4,17,65,23,49.09
Hugo,11,2011,41,83,236,93,277,91.52
Hulk,6,2003,40,54,239,63,279,61.71
Hunt for the Wilderpeople,6,2016,30,81,210,97,240,95.00
Hunter Killer,10,2018,28,43,117,38,145,38.97
Hustle & Flow,7,2005,37,68,,,37,68.00
Hustlers,9,2019,44,79,358,87,402,86.12
I Am Legend,12,2007,37,65,216,68,253,67.56
I Am Not Your Negro,2,2017,20,80,,,20,80.00
I Am Number Four,2,2011,30,36,169,33,199,33.45
I Am Sam,12,2001,33,28,146,36,179,34.53
I Can Only Imagine,3,2018,8,30,33,67,41,59.78
I Capture the Castle,7,2003,29,63,85,78,114,74.18
I Don't Know How She Does It,9,2011,31,38,114,17,145,21.49
I Dreamed of Africa,5,2000,30,33,102,10,132,15.23
I Feel Pretty,4,2018,45,48,231,35,276,37.12
I Frankenstein,1,2014,20,30,,,20,30.00
I Heart Huckabees,10,2004,40,55,193,64,233,62.45
I Love You Beth Cooper,7,2009,30,32,,,30,32.00
I Love You Phillip Morris,12,2010,18,55,,,18,55.00
"I Love You, Beth Cooper",7,2009,30,32,120,13,150,16.80
"I Love You, Man",3,2009,34,70,207,83,241,81.17
I Now Pronounce You Chuck & Larry,7,2007,33,37,,,33,37.00
I Robot,7,2004,38,59,,,38,59.00
I Spit on Your Grave,10,2010,14,27,61,31,75,30.25
I Spy,11,2002,29,66,134,15,163,24.07
I Think I Love My Wife,3,2007,30,49,116,19,146,25.16
"I, Frankenstein",6,2014,20,30,105,5,125,9.00
"I, Robot",7,2004,38,59,224,57,262,57.29
Ice Age,3,2002,34,61,168,77,202,74.31
Ice Age: Collision Course,7,2016,27,34,121,18,148,20.92
Ice Age: Continental Drift,7,2012,29,49,135,37,164,39.12
Ice Age: Dawn of the Dinosaurs,7,2009,25,50,165,46,190,46.53
Ice Age: The Meltdown,3,2006,31,59,146,56,177,56.53
Ice Princess,3,2005,27,55,109,52,136,52.60
Ida,5,2014,,,,,0,0
Identity,4,2003,34,64,171,63,205,63.17
Identity Thief,2,2013,41,35,175,19,216,22.04
Idlewild,8,2006,31,55,130,47,161,48.54
If Beale Street Could Talk,12,2018,53,87,366,95,419,93.99
If I Stay,8,2014,36,46,140,36,176,38.05
Igby Goes Down,9,2002,30,72,135,75,165,74.45
Igor,9,2008,19,40,93,40,112,40.00
Imaginary,3,2024,21,34,101,24,122,25.72
Imagine That,6,2009,23,54,120,41,143,43.09
Immortals,11,2011,23,46,138,49,161,48.57
Impostor,1,2002,,,,,0,0
In Bruges,2,2008,34,67,213,85,247,82.52
In Good Company,12,2004,40,66,171,82,211,78.97
In Time,10,2011,21,82,177,37,198,41.77
In a Better World,4,2011,,,,,0,0
In the Bedroom,11,2001,31,86,141,93,172,91.74
In the Cut,10,2003,,,178,34,178,34.00
In the Heart of the Sea,12,2015,47,47,239,43,286,43.66
In the Land of Women,4,2007,29,47,117,44,146,44.60
In the Name of the King: A Dungeon Siege Tale,1,2008,40,65,,,40,65.00
In the Valley of Elah,9,2007,37,65,163,74,200,72.33
Incendies,4,2011,,,,,0,0
Inception,7,2010,42,74,374,87,416,85.69
Incredibles 2,6,2018,51,80,386,93,437,91.48
Independence Day: Resurgence,6,2016,40,32,232,29,272,29.44
Indiana Jones and the Dial of Destiny,6,2023,65,58,420,70,485,68.39
Indiana Jones and the Kingdom of the Crystal Skull,5,2008,40,65,309,77,349,75.62
Inferno,10,2016,47,42,251,23,298,26.00
Inglourious Basterds,8,2009,36,69,337,89,373,87.07
Inherent Vice,12,2014,43,81,256,74,299,75.01
Inkheart,1,2009,,,,,0,0
Inside Deep Throat,2,2005,38,64,121,83,159,78.46
Inside Job,10,2010,27,88,149,98,176,96.47
Inside Llewyn Davis,12,2013,53,93,292,92,345,92.15
Inside Man,3,2006,39,76,210,86,249,84.43
Inside Out,6,2015,55,94,382,98,437,97.50
Insidious,4,2011,,,,,0,0
Insidious: Chapter 2,9,2013,30,40,132,39,162,39.19
Insidious: Chapter 3,6,2015,26,52,128,56,154,55.32
Insidious: The Last Key,1,2018,23,49,112,33,135,35.73
Insidious: The Red Door,7,2023,23,45,116,38,139,39.16
Insomnia,5,2002,37,78,205,92,242,89.86
Instant Family,11,2018,28,57,156,82,184,78.20
Intermission,3,2004,,,,,0,0
Interstellar,11,2014,46,74,378,73,424,73.11
Into the Blue,9,2005,28,45,125,21,153,25.39
Into the Storm,8,2014,32,44,159,21,191,24.85
Into the Wild,9,2007,38,73,202,83,240,81.42
Into the Woods,12,2014,41,69,225,71,266,70.69
Intolerable Cruelty,10,2003,40,71,188,76,228,75.12
Invictus,12,2009,34,74,245,76,279,75.76
Invincible,8,2006,28,63,139,72,167,70.49
Iris,12,2001,30,76,112,79,142,78.37
Iron Man,5,2008,38,79,282,94,320,92.22
Iron Man 2,5,2010,40,57,305,72,345,70.26
Iron Man 3,5,2013,44,62,331,79,375,77.01
Iron Monkey,10,2001,,,,,0,0
Isn't It Romantic,2,2019,33,60,182,69,215,67.62
It,9,2017,49,69,389,85,438,83.21
It Chapter Two,9,2019,52,58,,,52,58.00
It Comes at Night,6,2017,43,78,257,88,300,86.57
It Follows,3,2015,,,,,0,0
It's All Gone Pete Tong,4,2005,,,,,0,0
It's Complicated,12,2009,30,57,185,59,215,58.72
It's Kind of a Funny Story,10,2010,33,63,139,58,172,58.96
Italian for Beginners,1,2002,,,,,0,0
J. Edgar,11,2011,42,59,248,43,290,45.32
Jack Reacher,12,2012,36,50,185,64,221,61.72
Jack Reacher: Never Go Back,10,2016,43,47,245,38,288,39.34
Jack Ryan: Shadow Recruit,1,2014,36,57,189,54,225,54.48
Jack and Jill,11,2011,26,23,118,3,144,6.61
Jack the Giant Slayer,3,2013,37,51,208,52,245,51.85
Jackass 3D,10,2010,23,56,,,23,56.00
Jackass Number Two,9,2006,23,66,,,23,66.00
Jackass Presents: Bad Grandpa,10,2013,29,54,111,61,140,59.55
Jackass: The Movie,10,2002,14,42,94,49,108,48.09
Jackie,12,2016,53,81,364,88,417,87.11
Jarhead,11,2005,40,58,199,60,239,59.67
Jason Bourne,7,2016,50,58,327,54,377,54.53
Jason X,4,2002,33,48,107,20,140,26.60
Jay and Silent Bob Strike Back,8,2001,31,51,151,52,182,51.83
Jeepers Creepers,8,2001,24,49,115,45,139,45.69
Jeepers Creepers 2,8,2003,29,36,127,24,156,26.23
Jem and the Holograms,10,2015,16,42,78,22,94,25.40
Jennifer's Body,9,2009,29,47,215,46,244,46.12
Jersey Boys,6,2014,44,54,224,51,268,51.49
