movie_name,month,year,ratings,user_vote,genres,country
Spy Kids,3,2001,5.6,127000,,United States
The Mexican,3,2001,6.1,114000,,United States Mexico
Along Came a Spider,4,2001,6.4,96000,,United States Germany Canada
Star Wars Ep. VIII: The Last Jedi,12,2017,,,,
Avengers: Infinity War,4,2018,8.4,12000000,Action Adventure Sci-Fi,United States Norway
movie_name,month,year,ratings,user_vote,genres,country
Spy Kids,3,2001,5.6,127000,,United States
The Mexican,3,2001,6.1,114000,,United States Mexico
Along Came a Spider,4,2001,6.4,96000,,United States Germany Canada
Star Wars Ep. VIII: The Last Jedi,12,2017,,,,
Avengers: Infinity War,4,2018,8.4,12000000,Action Adventure Sci-Fi,United States Norway
movie_name,month,year,ratings,user_vote,genres,country
(500) Days of Summer,9.0,2009.0,,,,
"10,000 B.C.",3.0,2008.0,,,,
10000 BC,3.0,2008.0,5.1,136000,,United States South Africa
13 Going On 30,9.0,2004.0,,,,
13 Going on 30,4.0,2004.0,6.3,217000,,United States
1917,1.0,2020.0,,,,
2 For the Money,10.0,2005.0,,,,
20 Feet From Stardom,11.0,2013.0,,,,
2016: Obama’s America,7.0,2012.0,,,,
21 & Over,3.0,2013.0,5.8,77000,,United States
21 Bridges,11.0,2019.0,,,,
movie_name,month,year,ratings,user_vote,genres,country
(500) Days of Summer,9.0,2009.0,,,,
10 Cloverfield Lane,3.0,2016.0,7.2,355000,,
"10,000 B.C.",3.0,2008.0,,,,
10000 BC,3.0,2008.0,5.1,136000,,United States South Africa
102 Dalmatians,11.0,2000.0,4.8,40000,,
12 Rounds,3.0,2009.0,5.6,31000,,
12 Strong,1.0,2018.0,6.5,92000,,
12 Years a Slave,10.0,2013.0,8.1,742000,,
127 Hours,11.0,2010.0,7.5,402000,,
13 Going On 30,9.0,2004.0,,,,
13 Going on 30,4.0,2004.0,6.3,217000,,United States
13 Hours: The Secret Soldiers of Benghazi,1.0,2016.0,7.3,161000,,
1408,6.0,2007.0,6.8,295000,,
15 Minutes,3.0,2001.0,6.1,52000,,
16 Blocks,3.0,2006.0,6.6,135000,,
17 Again,4.0,2009.0,6.4,217000,,
1917,1.0,2020.0,,,,
2 Fast 2 Furious,6.0,2003.0,5.9,298000,,
2 For the Money,10.0,2005.0,,,,
2 Guns,8.0,2013.0,6.7,226000,,
20 Feet From Stardom,11.0,2013.0,,,,
2012,11.0,2009.0,5.8,398000,,
2016: Obama’s America,7.0,2012.0,,,,
2046,8.0,2005.0,7.4,62000,,
20th Century Women,12.0,2016.0,7.3,49000,,
21,3.0,2008.0,6.8,267000,,
21 & Over,3.0,2013.0,5.8,77000,,United States
21 Bridges,11.0,2019.0,,,,
