movie_name,month,year,ratings,user_vote,genres,country
Mirrors,8.0,2008.0,6.1,114000,,
Miss Bala,2.0,2019.0,5.8,13000,,
Miss Congeniality,12.0,2000.0,6.3,231000,,
Miss Congeniality 2: Armed and Fabulous,3.0,2005.0,,,,
Miss Peregrine's Home for Peculiar Children,9.0,2016.0,6.7,189000,,United States United Kingdom Belgium Canada
Miss Peregrine’s Home for Peculiar Children,9.0,2016.0,,,,
Miss Potter,12.0,2006.0,7.0,32000,,
Miss Sloane,1.0,2017.0,,,,
Mission to Mars,3.0,2000.0,,,,
Mission: Impossible - Dead Reckoning Part One,7.0,2023.0,7.7,248000,,United States
Mission: Impossible - Fallout,7.0,2018.0,7.7,379000,,United States China France Norway
Mission: Impossible - Ghost Protocol,12.0,2011.0,7.4,529000,,United States United Arab Emirates
Mission: Impossible - Rogue Nation,7.0,2015.0,7.4,411000,,United States China United Kingdom Austria Morocco
Mission: Impossible 2,5.0,2000.0,,,,
Mission: Impossible Dead Reckoning Part One,7.0,2023.0,,,,
Mission: Impossible III,5.0,2006.0,6.9,391000,,
Mission: Impossible—Fallout,7.0,2018.0,,,,
Mission: Impossible—Ghost Protocol,12.0,2011.0,,,,
Mission: Impossible—Rogue Nation,7.0,2015.0,,,,
Moana,11.0,2015.0,6.8,738,,
Molly’s Game,12.0,2017.0,,,,
Mommy,9.0,2014.0,8.0,62000,,
Moms' Night Out,5.0,2014.0,5.3,15000,,United States
Moms’ Night Out,5.0,2014.0,,,,
Mona Lisa Smile,12.0,2003.0,6.5,91000,,
Money Monster,5.0,2016.0,6.5,105000,,
Moneyball,9.0,2011.0,7.6,466000,,
Mongol,6.0,2008.0,,,,
Mongol: The Rise of Genghis Khan,6.0,2008.0,7.2,49000,,Russia Germany Kazakhstan
Monkeybone,2.0,2001.0,4.8,19000,,
Monsoon Wedding,2.0,2002.0,7.3,27000,,
Monster,12.0,2003.0,7.3,162000,,
Monster House,7.0,2006.0,6.6,138000,,
Monster Trucks,1.0,2017.0,5.7,19000,,
Monster's Ball,12.0,2001.0,7.1,94000,,
Monster-in-Law,5.0,2005.0,5.6,66000,,
Monsters,10.0,2010.0,6.3,98000,,
Monsters Inc.,11.0,2001.0,8.1,980000,,United States
Monsters University,6.0,2013.0,7.2,391000,,
Monsters vs. Aliens,3.0,2009.0,6.4,176000,,
"Monsters, Inc.",12.0,2001.0,,,,
Monte Carlo,7.0,2011.0,5.8,49000,,
Moon,6.0,2009.0,7.8,377000,,
Moonlight,10.0,2016.0,7.4,332000,,
Moonlight Mile,9.0,2002.0,6.6,15000,,
Moonrise Kingdom,5.0,2012.0,7.8,367000,,
Morgan,9.0,2016.0,5.8,46000,,
Morning Glory,11.0,2010.0,6.5,83000,,
Mortal Engines,12.0,2018.0,6.1,141000,,
Mortdecai,1.0,2015.0,5.5,77000,,
Mother and Child,5.0,2010.0,7.2,13000,,
Mother!,9.0,2017.0,6.6,250000,,United States
Mother's Day,4.0,2016.0,5.6,40000,,United States
Motherless Brooklyn,11.0,2019.0,,,,
Mother’s Day,4.0,2016.0,,,,
Moulin Rouge,5.0,2001.0,,,,
Moulin Rouge!,5.0,2001.0,7.6,300000,,Australia United States
Movie 43,1.0,2013.0,4.3,112000,,
Mozart and the Whale,4.0,2006.0,6.7,93000,,United States
Mr. & Mrs. Smith,6.0,2005.0,6.5,542000,,United States
Mr. 3000,9.0,2004.0,5.6,15000,,
Mr. Bean’s Holiday,8.0,2007.0,,,,
Mr. Brooks,6.0,2007.0,7.3,156000,,
Mr. Deeds,6.0,2002.0,5.8,153000,,
Mr. Peabody & Sherman,3.0,2014.0,6.8,78000,,
Mr. Popper's Penguins,6.0,2011.0,6.0,106000,,United States
Mr. Poppers's Penguins,6.0,2011.0,,,,
Mr. Turner,12.0,2014.0,6.8,27000,,
Mr. and Mrs. Smith,6.0,2005.0,,,,
Mrs. Henderson Presents,12.0,2005.0,7.0,16000,,
Mud,4.0,2013.0,7.4,189000,,
Mulholland Drive,10.0,2001.0,7.9,384000,,
Munich,12.0,2005.0,7.5,238000,,
Muppets Most Wanted,3.0,2014.0,6.4,37000,,
Murder by Numbers,4.0,2002.0,6.2,62000,,
Murder on the Orient Express,11.0,2017.0,6.5,297000,,
