month,year,mpaa,budget,runtime,screens,opening_week,domestic_box_office,user_vote,ratings,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
3.0,2016.0,3,15000000.0,103.0,3427.0,24727437.0,72082999.0,355000.0,7.2,358.0,88.32,193,0.0,-0.3134584274314794,-0.184562190354454,2.5022859222057723,-0.2663947753862632,-0.7077848650511096,-0.14527322826186537,0.9038420974292345
3.0,2008.0,3,105000000.0,109.0,3454.0,35867488.0,94784201.0,136000.0,5.1,29.0,34.0,231,0.0,0.5156783485543908,1.1749473993951594,-0.3401267511060483,2.548071769368336,-0.516368403295344,0.22108831622530395,0.026920467292586077
11.0,2000.0,0,85000000.0,100.0,2704.0,19883351.0,66957026.0,40000.0,4.8,114.0,31.05,193,0.0,1.6031080492422567,-0.24882394674525035,-0.41833897187773417,-0.5256501061343211,-0.1521247305117701,0.025665240957959575,-0.5685336384027567
3.0,2009.0,3,20000000.0,108.0,2331.0,5329240.0,12234694.0,31000.0,5.6,85.0,32.07,193,0.0,-0.5460968495860001,1.079621717259508,0.1884856170840623,-0.18551622631802794,1.8469737675937252,-0.3360744832435052,-0.3921621955228414
1.0,2018.0,4,35000000.0,130.0,3018.0,15815025.0,45819713.0,92000.0,6.5,216.0,50.8,193,0.0,-0.3267902625989537,0.586923859817523,-0.3113353848447757,3.725831361961094,-0.26485548826629585,-0.1851276646494062,-1.070271286501826
10.0,2013.0,4,20000000.0,134.0,1474.0,923715.0,56671993.0,742000.0,8.1,436.0,95.13,193,0.0,-0.25640735180850954,-0.4225000727776362,0.1293989110249679,2.321330600488545,-0.2836036135908976,2.157310207080741,-0.9549807434557256
11.0,2010.0,4,18000000.0,94.0,916.0,264851.0,18335230.0,402000.0,7.5,277.0,91.49,193,0.0,-0.42904644127831143,-0.34569449319421824,-0.056481543122276885,0.43049239656271066,-0.3114929639321147,1.8480036191326912,0.3127175782994346
4.0,2004.0,3,37000000.0,98.0,3453.0,21054283.0,57231747.0,217000.0,6.3,213.0,63.69,193,0.0,-0.26654110565242445,-0.6051327537173521,-0.7225861510528044,-0.6342469060076823,-0.6518998735671048,-0.6914945448492255,-0.7069614574185267
1.0,2016.0,4,50000000.0,144.0,2917.0,16194738.0,52853219.0,161000.0,7.3,260.0,50.58,193,0.0,-0.3549442024903961,0.6970309381357617,0.34712760383081764,3.784871541993263,0.09968040306054744,-0.4733117367134783,-0.8097912881666307
6.0,2007.0,3,25000000.0,104.0,2733.0,20617667.0,71985628.0,295000.0,6.8,204.0,77.88,193,0.0,0.01795658683963198,-0.3270788351401144,1.9801380764251417,-0.6997912871096259,-1.027468899287205,-0.18212732338134377,-0.7953547087907277
3.0,2001.0,4,60000000.0,120.0,2337.0,10523154.0,24403552.0,52000.0,6.1,155.0,32.41,123,0.0,-0.5590714235098588,0.7062104634911963,0.10854853081149458,0.3650666461382257,1.8962244560076709,-0.195482957844113,0.9959442028753638
3.0,2006.0,3,45000000.0,105.0,2706.0,11855260.0,36895141.0,135000.0,6.6,195.0,56.39,193,0.0,-0.5771359208136664,0.8677739390416671,0.14732989457020787,0.5126496648545023,0.1468014887938112,-0.17085696027828076,1.0616595846210453
4.0,2009.0,3,40000000.0,102.0,3255.0,23722310.0,64167069.0,217000.0,6.4,175.0,55.61,193,0.0,-0.36706996139917986,-0.7959939240418574,-0.902421675106644,-0.6473691695952986,-0.5677088292406025,0.6372930882517769,0.7289585725995674
6.0,2003.0,3,76000000.0,107.0,3418.0,50472480.0,127154901.0,298000.0,5.9,197.0,37.18,193,0.0,-0.5460968495860001,1.079621717259508,0.1884856170840623,-0.18551622631802794,1.8469737675937252,-0.3360744832435052,-0.3921621955228414
8.0,2013.0,4,61000000.0,109.0,3028.0,27059130.0,75612460.0,226000.0,6.7,232.0,62.33,193,0.0,-0.5495073366314875,0.9428999891788558,-0.28652940402539767,-0.3417834642870226,0.24005296407562787,-0.5662035703174784,-0.641003195435744
11.0,2009.0,3,200000000.0,158.0,3444.0,65237614.0,166112167.0,398000.0,5.8,280.0,40.21,193,0.0,0.06572733255263725,2.0309850529826226,-0.5024481756031202,-0.0695758477788115,-0.6876109875552007,-0.044363155337979916,-0.04287719986389756
12.0,2016.0,4,7000000.0,119.0,650.0,111200.0,5664764.0,49000.0,7.3,270.0,87.26,193,0.0,-0.4373419099751939,-0.750323928036031,-0.5788318762640089,-0.0924740768255684,-0.25308798135772387,-0.014436969383493467,0.27552049133702533
3.0,2008.0,3,35000000.0,123.0,2952.0,24105943.0,81159365.0,267000.0,6.8,200.0,37.74,193,0.0,-0.46208536282114887,-0.5034951216371398,0.5546461335210443,0.12283334117559534,1.7183687134872168,-0.0724919543735926,0.7848414895851233
3.0,2013.0,4,13000000.0,93.0,2771.0,8754168.0,25682380.0,77000.0,5.8,21.0,34.0,193,0.0,-0.4243673360513352,-0.3769126742677192,-0.4988947899914412,-0.643056949281822,-0.30233866977166957,-0.15502849478288563,-1.1125859070611799
11.0,2019.0,4,33000000.0,103.0,2665.0,9261268.0,28539757.0,75000.0,6.6,172.0,53.44,193,0.0,0.13973048426496876,1.0590904634352407,0.6526907194878753,0.4941410570472111,1.7834913800111523,-0.4601055046798161,1.4487879473804324
11.0,2003.0,4,20000000.0,124.0,411.0,274454.0,16290476.0,246000.0,7.6,221.0,78.96,193,0.0,-0.46208536282114887,-0.5034951216371398,0.5546461335210443,0.12283334117559534,1.7183687134872168,-0.0724919543735926,0.7848414895851233
3.0,2012.0,4,42000000.0,109.0,3148.0,36302612.0,138447667.0,599000.0,7.2,270.0,82.57,193,0.0,-0.5032888994362377,0.6712294353101462,-0.9837737564597043,-0.548406663035468,1.6249400399626441,-0.3026454958192382,-0.9671985755166207
6.0,2014.0,4,50000000.0,112.0,3426.0,57071445.0,191719337.0,407000.0,7.0,268.0,81.77,193,0.0,-0.5032888994362377,0.6712294353101462,-0.9837737564597043,-0.548406663035468,1.6249400399626441,-0.3026454958192382,-0.9671985755166207
12.0,2002.0,4,5000000.0,135.0,495.0,108865.0,13084595.0,185000.0,7.6,215.0,77.14,193,0.0,-0.451995920233514,-0.4520387244049077,-0.0650354913958356,0.21137617985970278,-0.3955901450534862,0.24031811525631191,0.5900768729956091
1.0,2008.0,3,30000000.0,111.0,3074.0,23007725.0,76808654.0,175000.0,6.1,186.0,42.0,193,0.0,-0.5610955222871157,-0.5935056976886213,-0.8166169061854496,-0.6580267582156701,-0.5119450732161068,-0.5614273605631865,-0.8401501524260917
4.0,2000.0,3,43000000.0,104.0,2523.0,10310672.0,37035515.0,54000.0,6.1,112.0,36.02,193,0.0,-0.4373419099751939,-0.750323928036031,-0.5788318762640089,-0.0924740768255684,-0.25308798135772387,-0.014436969383493467,0.27552049133702533
5.0,2007.0,4,15000000.0,100.0,2305.0,9807292.0,28638916.0,294000.0,6.9,233.0,72.88,168,0.0,-0.3736649980188843,0.23157515943545456,1.2707129648458133,-0.8252480103714902,-1.1954069195479111,0.1914636660160191,-0.8373375360549031
2.0,2014.0,3,28000000.0,117.0,2872.0,12242218.0,30697999.0,98000.0,6.2,151.0,30.38,104,0.0,-0.5771359208136664,0.8677739390416671,0.14732989457020787,0.5126496648545023,0.1468014887938112,-0.17085696027828076,1.0616595846210453
3.0,2000.0,4,4000000.0,82.0,678.0,3684704.0,9821335.0,37000.0,4.7,45.0,3.91,193,0.0,-0.4243673360513352,-0.3769126742677192,-0.4988947899914412,-0.643056949281822,-0.30233866977166957,-0.15502849478288563,-1.1125859070611799
10.0,2007.0,4,30000000.0,113.0,2859.0,15951902.0,39569000.0,190000.0,6.6,187.0,51.31,193,0.0,-0.5030729147779176,1.1571940586750267,1.4454256523016065,-0.37152783681961876,-0.4189579398449215,-0.27409086701669316,-0.5495539289235936
8.0,2011.0,4,28000000.0,83.0,2888.0,13330118.0,37053924.0,107000.0,6.1,202.0,45.73,193,0.0,-0.5032888994362377,0.6712294353101462,-0.9837737564597043,-0.548406663035468,1.6249400399626441,-0.3026454958192382,-0.9671985755166207
2.0,2001.0,4,62000000.0,125.0,2545.0,7160521.0,15749959.0,49000.0,6.0,126.0,16.43,193,0.0,-0.5314428393276801,0.7813365136283847,-0.325310767784111,-0.48936648300329916,1.9894759312894876,-0.5908295678833105,-0.7067185771814252
3.0,2014.0,4,110000000.0,102.0,3490.0,45038460.0,106580051.0,316000.0,6.2,233.0,45.44,193,0.0,-0.5489819809222239,0.7576668607234285,-0.5111330941053852,0.45360948482233315,-0.21773440253303217,0.11732711178579155,0.8011795862858496
9.0,2007.0,4,55000000.0,122.0,3006.0,14035033.0,53606916.0,331000.0,7.6,265.0,87.18,193,0.0,-0.5366615920278939,0.5614157132870401,-0.6116070801203839,0.6121478952368264,1.5870655192407013,-0.09340160158255448,0.7635377898856927
3.0,2002.0,4,17000000.0,96.0,2399.0,12229529.0,37950822.0,76000.0,5.6,170.0,41.72,103,0.0,-0.5610955222871157,-0.5935056976886213,-0.8166169061854496,-0.6580267582156701,-0.5119450732161068,-0.5614273605631865,-0.8401501524260917
4.0,2013.0,3,40000000.0,128.0,3405.0,27487144.0,95020213.0,103000.0,7.5,233.0,77.74,193,0.0,-0.5166007231012081,-0.16314440975041183,-0.15637998090354877,-0.1332127394811592,-0.2765526080195581,3.036199726834301,0.3605312099193235
6.0,2017.0,3,5300000.0,89.0,2471.0,11205562.0,44307193.0,61000.0,5.6,182.0,52.87,193,0.0,-0.3047517696865016,-0.20534470079314487,2.5445703099680896,-0.6645309592854448,-0.5229782076093634,-0.340244211159377,-0.6680634054630973
8.0,2019.0,3,12000000.0,90.0,2883.0,8427265.0,22260900.0,31000.0,5.0,105.0,43.84,192,1.0,0.17840539535905536,0.07979039406225848,1.7026813024580354,0.11666595908618556,-0.7341315447039608,-0.08598653736927944,0.987700263938703
12.0,2013.0,3,175000000.0,128.0,2690.0,9910310.0,38362475.0,171000.0,6.2,110.0,18.29,193,0.0,-0.2544275642875327,0.7460398046946976,-0.4171023389727401,0.477389337030321,-0.3576892028840301,-0.012740072500247307,0.9343682812934146
2.0,2004.0,3,75000000.0,99.0,3612.0,39852237.0,120908074.0,383000.0,6.8,213.0,45.54,193,0.0,-0.5740700962109744,-0.966916951456933,-0.8965539924580174,-0.10744388575941645,-0.46269438480216113,-0.4208358351637943,0.5479562459721136
9.0,2011.0,4,8000000.0,100.0,2479.0,8644095.0,35016118.0,343000.0,7.6,240.0,89.33,193,0.0,-0.5740700962109744,-0.966916951456933,-0.8965539924580174,-0.10744388575941645,-0.46269438480216113,-0.4208358351637943,0.5479562459721136
7.0,2009.0,3,7500000.0,95.0,1048.0,834501.0,32391374.0,559000.0,7.7,36.0,76.0,193,0.0,-0.5740700962109744,-0.966916951456933,-0.8965539924580174,-0.10744388575941645,-0.46269438480216113,-0.4208358351637943,0.5479562459721136
3.0,2023.0,3,45000000.0,93.0,3405.0,12328361.0,32062904.0,88000.0,5.4,155.0,36.7,193,0.0,0.024598818737336173,1.7676808775325494,0.07607772679990533,0.5400472047096111,-0.2738244078144116,-0.19195570200266002,1.6057091968695034
11.0,2002.0,4,41000000.0,110.0,2585.0,51240555.0,116750901.0,321000.0,7.2,249.0,75.31,193,0.0,-0.39191906627534767,-0.6405240368622866,-0.173530977212754,0.25581580872238285,-0.41067637560593473,0.08663984339168207,0.664063182634949
2.0,2023.0,3,28000000.0,98.0,3939.0,12701640.0,39448525.0,12000.0,5.9,170.0,56.76,193,0.0,-0.5248961917980906,-0.5677738445922246,-0.6787303140452807,-0.6561792128694383,-0.2181476254451673,1.1737591383181165,0.32333412295691427
4.0,2008.0,4,30000000.0,111.0,2168.0,6957216.0,17213467.0,78000.0,5.9,12.0,56.0,193,0.0,-0.36075027841844287,-0.6563282959769752,1.2076931884779778,0.07206352367239965,1.792204188243229,-0.2616363019867969,0.8774347263358602
9.0,2009.0,3,30000000.0,79.0,2060.0,10740446.0,31749894.0,148000.0,7.0,216.0,57.43,193,0.0,1.3117707443223354,1.5768902802631053,0.3460078936115064,0.7509757658236167,-0.14005733050256627,-0.31632496081178074,1.7179609386247046
9.0,2015.0,3,5000000.0,121.0,899.0,2035273.0,4842699.0,43000.0,4.9,32.0,26.56,193,0.0,-0.451995920233514,-0.4520387244049077,-0.0650354913958356,0.21137617985970278,-0.3955901450534862,0.24031811525631191,0.5900768729956091
11.0,2017.0,4,28000000.0,104.0,3615.0,16759161.0,72110659.0,58000.0,5.6,159.0,33.89,193,0.0,-0.4243673360513352,-0.3769126742677192,-0.4988947899914412,-0.643056949281822,-0.30233866977166957,-0.15502849478288563,-1.1125859070611799
12.0,2019.0,2,45000000.0,108.0,3235.0,13251238.0,61696436.0,89000.0,7.2,430.0,93.26,193,0.0,-0.42904644127831143,-0.34569449319421824,-0.056481543122276885,0.43049239656271066,-0.3114929639321147,1.8480036191326912,0.3127175782994346
12.0,2001.0,3,78000000.0,135.0,2250.0,367151.0,170742341.0,988000.0,8.2,247.0,73.73,193,0.0,-0.32771135687560543,-0.4985276675340537,0.5965655118346568,0.37972257905951506,-0.23765748917610247,1.6588592715194868,0.4053108150501714
6.0,2011.0,3,10000000.0,98.0,216.0,62087.0,1759252.0,17000.0,7.2,137.0,81.18,193,0.0,-0.5887241064692944,-0.6686317478258097,-0.38275760758984406,0.19640637092585472,-0.6051965484979235,-0.16608075052398893,0.8625126276306974
11.0,2009.0,2,200000000.0,96.0,3683.0,30051075.0,137855863.0,130000.0,6.8,32.0,55.0,234,0.0,2.8773054009033974,-0.8130257977830062,-0.22834589133870095,0.23586132743593802,0.03089303521402087,0.041887507548231034,0.9318245017506498
7.0,2004.0,2,19000000.0,95.0,2625.0,13623350.0,51438175.0,94000.0,5.9,132.0,14.18,193,0.0,0.8689130396343544,-0.9711301444500322,-0.6271562217911896,-0.7204641434803501,-0.17516258320367645,-0.3052554255998424,-0.6563483915220002
2.0,2017.0,4,40000000.0,146.0,2704.0,4356941.0,8106986.0,110000.0,6.4,50.0,82.0,193,0.0,-0.01890401079678821,-0.19618924638318486,2.5963166773384176,-0.24261492317827543,-0.8477396654021075,-0.2753404125479042,1.0370307924367996
11.0,2011.0,4,20000000.0,99.0,365.0,167953.0,5704709.0,108000.0,6.4,232.0,78.47,42,0.0,-0.5939285674055342,-0.45218043829688165,0.2842593293593079,0.4745627676610316,-0.15656347604970844,1.1534206812883179,0.8456333312697185
5.0,2019.0,2,16000000.0,109.0,3279.0,8030085.0,22782371.0,29000.0,7.4,101.0,50.57,60,1.0,1.884687891953089,-0.6338622565422931,-0.4042453030176567,0.04871261852992039,-0.24282884244882236,0.036189582071312926,0.9527614550030136
1.0,2017.0,2,22000000.0,100.0,3178.0,18222810.0,64508620.0,79000.0,7.2,180.0,35.6,222,0.0,1.884687891953089,-0.6338622565422931,-0.4042453030176567,0.04871261852992039,-0.24282884244882236,0.036189582071312926,0.9527614550030136
1.0,2019.0,2,18000000.0,96.0,3090.0,11251263.0,42004346.0,20000.0,6.7,94.0,57.66,61,0.0,1.5754794650600776,-0.3239499968824389,0.01552032671787149,0.32878302300720375,-0.2453762057935868,0.42101185099715716,1.1341291416540322
7.0,2017.0,4,100000.0,92.0,329.0,104030.0,1596371.0,80000.0,6.8,331.0,90.03,193,0.0,-0.19283460543189726,-0.833091978194376,0.36432020249973496,0.16941640563064694,-0.6713158740929092,-0.4852922824232322,1.088294559388999
2.0,2013.0,4,92000000.0,98.0,3555.0,24834845.0,67349198.0,215000.0,5.2,272.0,16.96,193,0.0,-0.5641613468898077,1.2411851928099789,0.22726698084277563,-0.03793320760175141,0.09755080037986551,-0.31144848567767297,-0.3264468137771602
11.0,2006.0,3,35000000.0,118.0,2067.0,3721526.0,7459300.0,101000.0,6.9,170.0,30.08,102,0.0,-0.5740700962109744,-0.966916951456933,-0.8965539924580174,-0.10744388575941645,-0.46269438480216113,-0.4208358351637943,0.5479562459721136
1.0,2003.0,3,20000000.0,101.0,2520.0,6988749.0,15545431.0,18000.0,5.6,133.0,25.44,193,0.0,-0.5610955222871157,-0.5935056976886213,-0.8166169061854496,-0.6580267582156701,-0.5119450732161068,-0.5614273605631865,-0.8401501524260917
1.0,2013.0,4,2500000.0,86.0,2160.0,18101682.0,40041683.0,50000.0,5.0,68.0,12.35,193,0.0,-0.06872448730475393,-0.4725308644314022,0.813294636600035,-0.9528717262917014,-0.9588022103474547,-0.24773806040794477,-1.2025043272000482
4.0,2014.0,4,4000000.0,87.0,2310.0,8843875.0,17329487.0,23000.0,4.7,55.0,10.62,193,0.0,-0.06872448730475393,-0.4725308644314022,0.813294636600035,-0.9528717262917014,-0.9588022103474547,-0.24773806040794477,-1.2025043272000482
9.0,2005.0,4,32000000.0,96.0,1348.0,515992.0,31504633.0,253000.0,7.4,254.0,87.13,193,0.0,-0.5590714235098588,0.7062104634911963,0.10854853081149458,0.3650666461382257,1.8962244560076709,-0.195482957844113,0.9959442028753638
4.0,2016.0,4,35000000.0,98.0,523.0,1138578.0,4212494.0,48000.0,6.1,185.0,67.73,193,0.0,-0.5740700962109744,-0.966916951456933,-0.8965539924580174,-0.10744388575941645,-0.46269438480216113,-0.4208358351637943,0.5479562459721136
7.0,2004.0,4,6500000.0,97.0,65.0,64728.0,1029872.0,14000.0,6.6,151.0,52.03,193,0.0,-0.5887241064692944,-0.6686317478258097,-0.38275760758984406,0.19640637092585472,-0.6051965484979235,-0.16608075052398893,0.8625126276306974
