month,year,mpaa,budget,runtime,screens,opening_week,domestic_box_office,user_vote,ratings,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
3.0,2016.0,3,15000000.0,103.0,3427.0,24727437.0,72082999.0,355000.0,7.2,358.0,88.32,193,0.0,-0.34308919289225304,-0.21580374143935707,2.445717600986077,-0.5165760169773173,-0.29553929477832624,0.46249120488108525,-0.2159408091441082,0.6540699187315403
3.0,2008.0,3,105000000.0,109.0,3454.0,35867488.0,94784201.0,136000.0,5.1,29.0,34.0,231,0.0,0.3859119614286668,1.2858094989672482,-0.3428280283461219,-0.4835144395467179,3.0294653042703867,0.1943626810594587,0.057112866424393186,0.2305683102135805
11.0,2000.0,0,85000000.0,100.0,2704.0,19883351.0,66957026.0,40000.0,4.8,114.0,31.05,193,0.0,1.4772763614220064,0.024952598555491336,-0.23169385211241433,-0.2105674860145213,-0.37995536957737597,-0.8388532277500368,0.21252406069568372,-0.24154094049348454
3.0,2009.0,3,20000000.0,108.0,2331.0,5329240.0,12234694.0,31000.0,5.6,85.0,32.07,193,0.0,-0.6175578884991888,0.9371220757220349,0.060580669130626326,1.8217997552373093,-0.19608076739024638,0.28316550072353525,-0.31750640026496196,-0.21524424948745938
1.0,2018.0,4,35000000.0,130.0,3018.0,15815025.0,45819713.0,92000.0,6.5,216.0,50.8,193,0.0,-0.4634374272740956,0.6900147792938741,-0.28280338046736214,-0.20553263714415282,4.02062619741074,-0.17156939422366005,-0.21775680105111092,-0.11160852586631119
10.0,2013.0,4,20000000.0,134.0,1474.0,923715.0,56671993.0,742000.0,8.1,436.0,95.13,193,0.0,-0.28834955652986105,-0.44390977482736665,0.1773452024771279,-0.24781003298782067,3.0169771182855434,0.022161562383339342,1.8768009814670017,-0.33859040010801955
11.0,2010.0,4,18000000.0,94.0,916.0,264851.0,18335230.0,402000.0,7.5,277.0,91.49,193,0.0,-0.3746074861274728,-0.49029194908809337,-0.22487173996335302,-0.30467136047256044,0.23171972614672268,0.9195225911966841,1.6302655821669985,-0.21875391960331073
4.0,2004.0,3,37000000.0,98.0,3453.0,21054283.0,57231747.0,217000.0,6.3,213.0,63.69,193,0.0,-0.16539330263679042,-0.586261389808398,-0.48733330699279,-0.742353689149815,-0.3787484435809428,-0.9738404697887486,-0.6344114839864593,0.0860530892999473
1.0,2016.0,4,50000000.0,144.0,2917.0,16194738.0,52853219.0,161000.0,7.3,260.0,50.58,193,0.0,-0.49194499877973147,0.7121841970771966,0.2193126068677559,0.2916342322281084,4.068471851884076,-0.1645992680546993,-0.5723553764499196,0.25255767564431014
6.0,2007.0,3,25000000.0,104.0,2733.0,20617667.0,71985628.0,295000.0,6.8,204.0,77.88,193,0.0,0.003613357272441124,-0.18978929612071113,2.267596857265771,-0.9875995137569307,-0.44596442132676095,-0.00296787130932228,-0.11124922214039991,-0.39023380608728336
3.0,2001.0,4,60000000.0,120.0,2337.0,10523154.0,24403552.0,52000.0,6.1,155.0,32.41,123,0.0,-0.5517882577746233,0.513530294547342,-0.22329967688612665,1.8769271054433376,0.04220008854704706,0.8194565556286533,-0.2808706879444028,0.41647178739692164
