movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Shutter,3,2008,,85.0,Horror Mystery Thriller,PG-13,2756,10447559.0,25928550.0,22626756.0,48555306.0,
The Spiderwick Chronicles,2,2008,90000000.0,96.0,Action Adventure Drama Family Fantasy Thriller,PG,3847,19004058.0,71195053.0,92975274.0,164170327.0,
Meet the Browns,3,2008,,100.0,Comedy Drama Romance,PG-13,2016,20082809.0,41975388.0,,41975388.0,
Step Up 2: The Streets,2,2008,,98.0,Drama Music Romance,PG-13,2528,18908826.0,58017783.0,92798917.0,150816700.0,
Stop-Loss,3,2008,25000000.0,112.0,Drama War,R,1305,4555117.0,10915744.0,297209.0,11212953.0,
Juno,12,2007,7500000.0,96.0,Comedy Drama,PG-13,2534,413869.0,143495265.0,88877416.0,232372681.0,
27 Dresses,1,2008,30000000.0,111.0,Comedy Romance,PG-13,3074,23007725.0,76808654.0,85846697.0,162655351.0,
Penelope,2,2008,,104.0,Comedy Fantasy Romance,PG,1207,3802144.0,10011996.0,11144274.0,21156270.0,
Alvin and the Chipmunks,12,2007,60000000.0,92.0,Adventure Comedy Family Fantasy Music Musical,PG,3499,44307417.0,217326974.0,148025572.0,365352546.0,
Run Fatboy Run,3,2008,10000000.0,100.0,Comedy Romance Sport,PG-13,1133,2340743.0,6003262.0,27475659.0,33478921.0,
Eagle Eye,9,2008,80000000.0,118.0,Action Mystery Thriller,PG-13,3614,29150721.0,101440743.0,77326640.0,178767383.0,
Beverly Hills Chihuahua,10,2008,,91.0,Adventure Comedy Drama Family Romance,PG,3239,29300465.0,94514402.0,54778086.0,149292488.0,
High School Musical 3: Senior Year,10,2008,11000000.0,112.0,Comedy Drama Family Music Musical Romance,G,3626,42030184.0,90559416.0,162349761.0,252909177.0,
Burn After Reading,9,2008,37000000.0,96.0,Comedy Crime Drama Thriller,R,2657,19128001.0,60355347.0,103373555.0,163728902.0,
Saw V,10,2008,10800000.0,92.0,Horror Thriller,R,3084,30053954.0,56746769.0,57117290.0,113864059.0,
Nights in Rodanthe,9,2008,,97.0,Drama Romance,PG-13,2704,13418454.0,41850659.0,42524687.0,84375346.0,
Righteous Kill,9,2008,60000000.0,101.0,Crime Mystery Thriller,R,3152,16288361.0,40081410.0,38379289.0,78460699.0,
Lakeview Terrace,9,2008,20000000.0,110.0,Crime Drama Thriller,,2574,15004672.0,39263506.0,5391496.0,44655002.0,
The Family That Preys,9,2008,,111.0,Drama,PG-13,2070,17381218.0,37105289.0,,37105289.0,
Max Payne,10,2008,35000000.0,100.0,Action Crime Drama Mystery Thriller,PG-13,3381,17639849.0,40689393.0,46377537.0,87066930.0,
Body of Lies,10,2008,70000000.0,128.0,Action Drama Thriller,R,2714,12884416.0,39394666.0,76506231.0,115900897.0,
Quarantine,10,2008,12000000.0,89.0,Horror Sci-Fi Thriller,R,2463,14211321.0,31691811.0,9628095.0,41319906.0,
Nick and Norah's Infinite Playlist,10,2008,10000000.0,90.0,Comedy Drama Music Romance,PG-13,2421,11311751.0,31487293.0,2069338.0,33556631.0,
The Women,9,2008,16000000.0,114.0,Comedy Drama,PG-13,2995,10115210.0,26902075.0,23105471.0,50007546.0,
The Secret Life of Bees,10,2008,11000000.0,114.0,Drama,PG-13,1630,10527799.0,37770162.0,2182275.0,39952437.0,
The Dark Knight,7,2008,185000000.0,152.0,Action Crime Drama Thriller,PG-13,4366,158411483.0,533345358.0,470500000.0,1003845358.0,
Tropic Thunder,8,2008,92000000.0,107.0,Action Comedy War,R,3473,25812796.0,110515313.0,85187498.0,195703047.0,
W.,10,2008,25100000.0,129.0,Biography Comedy Drama History,PG-13,2050,10505668.0,25534493.0,4026094.0,29560587.0,
My Best Friend's Girl,9,2008,20000000.0,101.0,Comedy Romance,R,2636,8265357.0,19219250.0,22405437.0,41624687.0,
Igor,9,2008,25000000.0,87.0,Animation Comedy Family Fantasy Horror Sci-Fi,PG,2341,7803347.0,19528602.0,11365283.0,30893885.0,
The House Bunny,8,2008,25000000.0,97.0,Comedy,PG-13,2763,14533702.0,48237389.0,22202307.0,70439696.0,
Appaloosa,9,2008,20000000.0,115.0,Action Crime Drama Romance Western,R,1290,248847.0,20211394.0,7500968.0,27712362.0,
Bangkok Dangerous,9,2008,45000000.0,99.0,Action Crime Thriller,R,2654,7783266.0,15298133.0,27189257.0,42487390.0,
Zack and Miri Make a Porno,10,2008,24000000.0,101.0,Comedy Romance,R,2735,10065630.0,31457946.0,11324517.0,42782463.0,
Changeling,10,2008,55000000.0,141.0,Biography Crime Drama History Mystery Thriller,R,1896,489015.0,35739802.0,77658435.0,113398237.0,
Ghost Town,9,2008,20000000.0,102.0,Comedy Drama Fantasy Romance,PG-13,1512,5012315.0,13367624.0,13722535.0,27090159.0,
Pride and Glory,10,2008,30000000.0,130.0,Crime Drama Thriller,R,2585,6262396.0,15740721.0,15459836.0,31200557.0,
The Duchess,9,2008,,110.0,Biography Drama History Romance Thriller,PG-13,1207,190426.0,13848978.0,29494406.0,43343384.0,
Traitor,8,2008,22000000.0,114.0,Action Crime Drama Thriller,PG-13,2108,7868465.0,23530831.0,4143633.0,27674464.0,
Death Race,8,2008,45000000.0,105.0,Action Sci-Fi Thriller,R,2586,12621090.0,36316032.0,39698303.0,76014335.0,
Mamma Mia!,7,2008,52000000.0,108.0,Comedy Musical Romance,PG-13,3194,27751240.0,144290968.0,465711574.0,610002542.0,
Babylon A.D.,8,2008,70000000.0,90.0,Action Adventure Sci-Fi Thriller,PG-13,3425,9484627.0,22532572.0,49576628.0,72109200.0,
The Express,10,2008,40000000.0,130.0,Biography Drama Sport,PG,2810,4562675.0,9793406.0,14718.0,9808124.0,
Sex Drive,10,2008,19000000.0,109.0,Comedy Romance,R,2421,3607164.0,8402485.0,10353451.0,18755936.0,
Miracle at St. Anna,9,2008,45000000.0,160.0,Action Drama War,R,1185,3477996.0,7919117.0,1414537.0,9333654.0,
City of Ember,10,2008,55000000.0,90.0,Adventure Drama Family Fantasy Sci-Fi Thriller,PG,2023,3129473.0,7873007.0,10056677.0,17929684.0,
Disaster Movie,8,2008,20000000.0,87.0,Comedy Sci-Fi,PG-13,2642,5836973.0,14190901.0,20625923.0,34816824.0,
An American Carol,10,2008,20000000.0,83.0,Comedy Fantasy,PG-13,1639,3810000.0,7013191.0,,7013191.0,
The Haunting of Molly Hartley,10,2008,,85.0,Drama Horror Thriller,PG-13,2652,5423315.0,13559812.0,1858937.0,15418749.0,
Pineapple Express,8,2008,27000000.0,111.0,Action Comedy Crime,R,3072,23245025.0,87341380.0,14283463.0,101624843.0,
Journey to the Center of the Earth,7,2008,60000000.0,93.0,Action Adventure Family Fantasy Sci-Fi,PG,2830,21018141.0,101704370.0,142528318.0,244232688.0,
Mirrors,8,2008,,110.0,Horror Mystery,R,2664,11161074.0,30691439.0,47403275.0,78094714.0,
Star Wars: The Clone Wars,8,2008,,98.0,Action Adventure Animation Family Fantasy Sci-Fi,PG,3452,14611273.0,35161554.0,33121290.0,68282844.0,
Flash of Genius,10,2008,,119.0,Biography Drama,PG-13,1098,2251075.0,4442377.0,360576.0,4802953.0,
WALLï¿½E,6,2008,180000000.0,98.0,Adventure Animation Family Sci-Fi,,3992,63087526.0,223808164.0,297503696.0,521311860.0,
The Mummy: Tomb of the Dragon Emperor,8,2008,145000000.0,112.0,Action Adventure Fantasy Horror,PG-13,3778,40457770.0,102491776.0,300958054.0,403449830.0,
Blindness,10,2008,25000000.0,121.0,Drama Mystery Thriller,R,1690,1950260.0,3351751.0,16493228.0,19844979.0,
The Longshots,8,2008,,94.0,Biography Comedy Drama Family Sport,PG,2089,4080687.0,11537046.0,230820.0,11767866.0,
How to Lose Friends & Alienate People,10,2008,28000000.0,110.0,Biography Comedy Drama Romance,R,1750,1430294.0,2778752.0,16373257.0,19152009.0,
The Sisterhood of the Traveling Pants 2,8,2008,27000000.0,119.0,Comedy Drama Romance,PG-13,2714,10678430.0,44089964.0,262453.0,44352417.0,
Step Brothers,7,2008,65000000.0,98.0,Comedy,R,3182,30940732.0,100468793.0,27638849.0,128107642.0,
College,8,2008,7000000.0,94.0,Comedy,R,2124,2153109.0,4694636.0,1570847.0,6265483.0,
Get Smart,6,2008,80000000.0,110.0,Action Adventure Comedy,PG-13,3915,38683480.0,130319208.0,100366245.0,230685453.0,
Hamlet 2,8,2008,9000000.0,92.0,Comedy Music,R,1597,439925.0,4886216.0,39072.0,4925288.0,
Kung Fu Panda,6,2008,130000000.0,92.0,Action Adventure Animation Comedy Family Fantasy,PG,4136,60239130.0,215434591.0,416309969.0,631744560.0,
Indiana Jones and the Kingdom of the Crystal Skull,5,2008,185000000.0,122.0,Action Adventure,PG-13,4264,100137835.0,317101119.0,469534914.0,786636033.0,
Space Chimps,7,2008,37000000.0,81.0,Adventure Animation Comedy Family Sci-Fi,,2538,7181374.0,30105968.0,34991725.0,65097693.0,
Hancock,7,2008,150000000.0,92.0,Action Comedy Drama Fantasy,PG-13,3965,62603879.0,227946274.0,401497154.0,629443428.0,
Swing Vote,8,2008,21000000.0,120.0,Comedy Drama,PG-13,2213,6230669.0,16289867.0,1344446.0,17634313.0,
Hellboy II: The Golden Army,7,2008,85000000.0,120.0,Action Adventure Fantasy Horror Sci-Fi,PG-13,3212,34539115.0,75986503.0,92332740.0,168319243.0,
The Rocker,8,2008,15000000.0,102.0,Comedy Music,PG-13,2784,2636048.0,6409528.0,2399407.0,8808935.0,
Wanted,6,2008,75000000.0,110.0,Action Crime Thriller,R,3185,50927085.0,134508551.0,207954512.0,342463063.0,
Iron Man,5,2008,140000000.0,126.0,Action Adventure Sci-Fi,PG-13,4154,98618668.0,318604126.0,266762121.0,585366247.0,
The Incredible Hulk,6,2008,150000000.0,112.0,Action Adventure Sci-Fi,PG-13,3508,55414050.0,134806913.0,129964083.0,264770996.0,
Kit Kittredge: An American Girl,6,2008,10000000.0,101.0,Comedy Drama Family,,1849,220297.0,17657973.0,,17657973.0,
You Don't Mess with the Zohan,6,2008,90000000.0,113.0,Action Comedy,PG-13,3466,38531374.0,100018837.0,104294563.0,204313400.0,
The X Files: I Want to Believe,7,2008,30000000.0,104.0,Crime Drama Horror Mystery Sci-Fi Thriller,PG-13,3185,10021753.0,20982478.0,48380903.0,69363381.0,
Sex and the City,5,2008,65000000.0,145.0,Comedy Drama Romance,R,3325,57038404.0,152647258.0,266118063.0,418765321.0,
Meet Dave,7,2008,60000000.0,90.0,Adventure Comedy Family Romance Sci-Fi,PG,3011,5251918.0,11803254.0,39536313.0,51339567.0,
The Chronicles of Narnia: Prince Caspian,5,2008,225000000.0,150.0,Action Adventure Family Fantasy,PG,3929,55034805.0,141621490.0,278044078.0,419665568.0,
The Happening,6,2008,48000000.0,91.0,Adventure Drama Sci-Fi Thriller,R,2986,30517109.0,64506874.0,98896925.0,163403799.0,
The Bucket List,12,2007,45000000.0,97.0,Adventure Comedy Drama,PG-13,2915,335837.0,93466502.0,81906000.0,175372502.0,
Cloverfield,1,2008,25000000.0,85.0,Horror Sci-Fi Thriller,PG-13,3411,40058229.0,80048433.0,92345747.0,172394180.0,
Jumper,2,2008,85000000.0,88.0,Action Adventure Sci-Fi Thriller,PG-13,3430,27354808.0,80172128.0,144959985.0,225132113.0,
National Treasure: Book of Secrets,12,2007,,124.0,Action Adventure Mystery Thriller,PG,3832,44783772.0,219964115.0,239278134.0,459242249.0,
Fool's Gold,2,2008,70000000.0,112.0,Action Adventure Comedy Romance Thriller,PG-13,3125,21589295.0,70231041.0,41000000.0,111231041.0,
Vantage Point,2,2008,40000000.0,90.0,Action Crime Drama Thriller,PG-13,3163,22874936.0,72266306.0,79773576.0,152039882.0,
I Am Legend,12,2007,150000000.0,101.0,Action Drama Horror Sci-Fi Thriller,PG-13,3648,77211321.0,256393010.0,329017042.0,585410052.0,
Rambo,1,2008,50000000.0,92.0,Action Adventure Thriller,R,2764,18203876.0,42754105.0,70490185.0,113244290.0,
Welcome Home Roscoe Jenkins,2,2008,35000000.0,104.0,Comedy Romance,PG-13,2387,16207730.0,42436517.0,1218901.0,43655418.0,
First Sunday,1,2008,,98.0,Comedy Crime Drama,PG-13,2213,17714821.0,37931869.0,878442.0,38810311.0,
Meet the Spartans,1,2008,,87.0,Comedy Fantasy,PG-13,2643,18505530.0,38233676.0,47663917.0,85897593.0,
There Will Be Blood,12,2007,25000000.0,158.0,Drama,R,1620,190739.0,40222514.0,35959031.0,76181545.0,
Atonement,12,2007,,123.0,Drama Mystery Romance War,R,1400,784145.0,50927067.0,78338994.0,129266061.0,
The Eye,2,2008,,98.0,Horror Mystery,PG-13,2470,12425776.0,31418697.0,26591623.0,58010320.0,
Untraceable,1,2008,35000000.0,101.0,Crime Mystery Thriller,R,2368,11354069.0,28687835.0,24245678.0,52933513.0,
No Country for Old Men,11,2007,,122.0,Crime Drama Thriller,R,2037,1202000.0,74283625.0,97343541.0,171627166.0,
Definitely Maybe,2,2008,,112.0,Comedy Drama Romance,PG-13,2220,9764270.0,32241649.0,23748650.0,55990299.0,
One Missed Call,1,2008,20000000.0,87.0,Horror Mystery,PG-13,2240,12511473.0,26890041.0,18957710.0,45847751.0,
P.S. I Love You,12,2007,30000000.0,126.0,Comedy Drama Romance,PG-13,2471,6481221.0,53695808.0,103139531.0,156835339.0,
Charlie Wilson's War,12,2007,75000000.0,102.0,Biography Comedy Drama History,R,2594,9656250.0,66661095.0,52822351.0,119483446.0,
Mad Money,1,2008,,104.0,Comedy Crime Thriller,PG-13,2470,7736452.0,20668843.0,5743320.0,26412163.0,
Sweeney Todd: The Demon Barber of Fleet Street,12,2007,50000000.0,116.0,Drama Horror Musical Thriller,R,1507,9300805.0,52898073.0,100485554.0,153383627.0,
Semi-Pro,2,2008,,91.0,Comedy Sport,R,3121,15200000.0,33479698.0,10524804.0,44004502.0,
The Water Horse,12,2007,,112.0,Adventure Family Fantasy War,PG,2777,9186054.0,40946255.0,63021129.0,103967384.0,
The Pirates Who Don't Do Anything,1,2008,,85.0,Adventure Animation Comedy Family Fantasy,G,1340,4251320.0,12981269.0,266456.0,13247725.0,
The Great Debaters,12,2007,,126.0,Biography Drama Romance,PG-13,1290,6005180.0,30236407.0,,30236407.0,
Enchanted,11,2007,85000000.0,107.0,Adventure Animation Comedy Family Fantasy Musical Romance,PG,3730,34440317.0,127807262.0,212680390.0,340487652.0,
The Other Boleyn Girl,2,2008,35000000.0,115.0,Biography Drama History Romance,PG-13,1212,8203061.0,26814957.0,51384722.0,78199679.0,
Michael Clayton,10,2007,,119.0,Crime Drama Mystery Thriller,R,2585,719910.0,49033882.0,43957953.0,92991835.0,
Aliens vs. Predator: Requiem,12,2007,,94.0,Action Horror Sci-Fi Thriller,R,2617,10059425.0,41797066.0,88493819.0,130290885.0,
Over Her Dead Body,2,2008,,95.0,Comedy Fantasy Romance,PG-13,1977,4600000.0,7563670.0,13894441.0,21458111.0,
The Golden Compass,12,2007,180000000.0,113.0,Adventure Family Fantasy,PG-13,3528,26125000.0,70107728.0,302127136.0,372234864.0,
How She Move,1,2008,,94.0,Drama,PG-13,1531,3957471.0,7070641.0,1588571.0,8659212.0,
Strange Wilderness,2,2008,,87.0,Adventure Comedy,R,1211,3001719.0,6575282.0,389452.0,6964734.0,
In the Name of the King: A Dungeon Siege Tale,1,2008,,127.0,Action Adventure Fantasy Thriller War,PG-13,1632,3265000.0,4775656.0,8322259.0,13097915.0,
