movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Eiga Doraemon: Nobita to Sora no Utopia,3,2023,,,,,,,15689127,15689127,Japan
Tri bogatyrya: Khod konem,10,2015,,74,,,,,15687885,15687885,Russian Federation
Shin Kamen Rider,3,2023,,121,,,,,15686979,15686979,Japan
Larry the Cable Guy: Health Inspector,,2006,17000000,,PG-13,1710,6922767,15680099,,,United States
Aile Arasında,12,2017,,125,,,,,15665230,15665230,Turkey
Les gamins,4,2013,9000000,95,,,,,15660664,15660664,France
Made in Dagenham,1,2011,8000000,113,R,3,37563,1095369,14548827,15644196,United Kingdom
Familyhood,6,2016,,120,,,,,15582034,15582034,Republic of Korea
Rokuyon: Kôhen,6,2016,,119,,,,,15570077,15570077,Japan
Trouble,8,2019,,97,,,,,15568692,15568692,"Canada, Cayman Islands, United States"
My Boss's Daughter,7,2004,14000000,86,PG-13,2201,4855798,15549702,15655,15565357,United States
Murder 2,,2011,,130,,,,,15559302,15559302,India
Scouts Guide to the Zombie Apocalypse,10,2015,15000000,93,R,1509,1841007,3703046,11851809,15554855,United States
Teiichi no kuni,4,2017,,118,,,,,15545390,15545390,Japan
Au nom de la terre,9,2019,,103,,,,,15528468,15528468,"Belgium, France"
Suburbicon,10,2017,25000000,105,R,2046,2840246,5775178,9746441,15521619,United States
Joy Ride,7,2023,,94,R,2820,5806277,12897789,2620847,15518636,United States
The Lunchbox,6,2014,1700000,104,PG,3,44542,4231500,11286386,15517886,"France, Germany, India"
Shanghai,9,2012,50000000,104,R,103,26604,46425,15459497,15505922,"China, United States"
Paris Can Wait,5,2017,,92,PG,4,98850,5608745,9869510,15478255,United States
Bait,,2000,35000000,119,R,2352,5485591,15325127,146842,15471969,United States
The Greatest Game Ever Played,,2005,25000000,120,PG,1014,3657322,15331289,136977,15468266,United States
The Weather Man,,2005,20000000,102,R,1510,4248465,12482775,2984186,15466961,United States
The Fountain,,2006,35000000,96,PG-13,1472,3768702,10144010,5317628,15461638,United States
Facing Windows,5,2004,,106,R,7,36061,541682,14916723,15458405,"Italy, Portugal, Turkey, United Kingdom"
Superlópez,11,2018,,108,Not,,,,15458332,15458332,Spain
The Jacket,,2005,28500000,103,R,1331,2723682,6301131,9151847,15452978,United States
Pourquoi j'ai pas mangé mon père,4,2015,42000000,101,,,,,15451663,15451663,France
Loving Pablo,10,2017,,123,R,15,16564,22017,15428473,15450490,"Bulgaria, Spain"
Marrying the Mafia III,,2006,,128,,,,,15447156,15447156,Republic of Korea
Kang rinpoche,6,2017,,115,Not,1,2780,28184,15413005,15441189,China
Out of the Furnace,12,2013,22000000,115,R,2101,5220288,11330849,4103526,15434375,"United Kingdom, United States"
Catch and Release,,2007,,111,PG-13,1622,7658898,15432542,,,United States
Nada a Perder 2,8,2019,,100,PG-13,,,,15400333,15400333,Brazil
Touching the Void,12,2003,2000000,106,R,5,96973,4593598,10802927,15396525,"United Kingdom, United States"
Pulse: A Stomp Odyssey,8,2003,,40,Not,,,10086514,5297876,15384390,United States
Yugo & Lala 4,7,2018,,85,,,,,15382225,15382225,China
"Il Ricco, il Povero e il Maggiordomo",12,2014,,102,,,,,15377544,15377544,Italy
Miss Bala,1,2019,15000000,104,PG-13,2203,6864744,14998027,366605,15364632,"Mexico, United States"
Alex & Emma,10,2003,30000000,96,PG-13,2310,6111074,14208384,1150199,15358583,United States
Hysteria,4,2012,,95,R,5,35656,1804139,13538774,15342913,"United Kingdom, United States"
Primeval,,2007,,94,R,2444,6048315,10597734,4740121,15337855,United States
Les vacances du petit Nicolas,7,2014,,97,Not,39,100097,518768,14808621,15327389,France
